Preferred Sample Id,class_id
AB-74-VX70,c4a6906a-c17d-4c9a-856f-70f8d81ac8b6
ZC-17-AE29,c4a6906a-c17d-4c9a-856f-70f8d81ac8b6
ZD-32-MV78,000387ad-d330-4cd9-8a0a-c292222573d7
OC-91-MM95,000387ad-d330-4cd9-8a0a-c292222573d7
AE-79-GX07,000387ad-d330-4cd9-8a0a-c292222573d7
PA-53-JD23,000387ad-d330-4cd9-8a0a-c292222573d7
GB-69-KQ20,000387ad-d330-4cd9-8a0a-c292222573d7
EE-46-RI84,000387ad-d330-4cd9-8a0a-c292222573d7
UB-77-JP46,000387ad-d330-4cd9-8a0a-c292222573d7
QB-20-VL45,000387ad-d330-4cd9-8a0a-c292222573d7
OC-90-KI33,000387ad-d330-4cd9-8a0a-c292222573d7
WE-53-FC40,2cfac8c4-e3b9-4d5f-af06-4ae1ebce93c8
PA-63-JK20,2cfac8c4-e3b9-4d5f-af06-4ae1ebce93c8
IC-75-PT77,2cfac8c4-e3b9-4d5f-af06-4ae1ebce93c8
HD-31-YX62,ce18dcd3-3631-46f9-85bf-cc1c3c1dbaca
RB-29-GR16,ce18dcd3-3631-46f9-85bf-cc1c3c1dbaca
LA-08-FR84,f52c4e7c-63b3-4a15-a90f-2b575a2e4458
TB-26-CB25,f52c4e7c-63b3-4a15-a90f-2b575a2e4458
JE-69-OS84,f52c4e7c-63b3-4a15-a90f-2b575a2e4458
XC-12-ZB25,f52c4e7c-63b3-4a15-a90f-2b575a2e4458
ZB-99-RC14,f52c4e7c-63b3-4a15-a90f-2b575a2e4458
XA-80-NN89,f52c4e7c-63b3-4a15-a90f-2b575a2e4458
HB-94-DF81,f52c4e7c-63b3-4a15-a90f-2b575a2e4458
BF-64-GQ28,f52c4e7c-63b3-4a15-a90f-2b575a2e4458
FD-14-XM43,f52c4e7c-63b3-4a15-a90f-2b575a2e4458
DF-62-PB47,f52c4e7c-63b3-4a15-a90f-2b575a2e4458
HC-96-WN25,f52c4e7c-63b3-4a15-a90f-2b575a2e4458
PA-07-UJ82,f52c4e7c-63b3-4a15-a90f-2b575a2e4458
FC-81-IA82,f52c4e7c-63b3-4a15-a90f-2b575a2e4458
BD-81-OO16,f52c4e7c-63b3-4a15-a90f-2b575a2e4458
ND-50-JP00,f52c4e7c-63b3-4a15-a90f-2b575a2e4458
FD-41-ZK81,f52c4e7c-63b3-4a15-a90f-2b575a2e4458
JD-36-VG78,d512c1f5-3c26-4e78-b048-277a0a1f3a74
RA-70-HZ94,f276921b-08ea-42ea-a6a9-8d8d8f2d50cb
YA-29-LJ16,85261a4f-5140-4629-b67e-ccfea7a76945
EB-73-XF04,9e8aaea9-a5e4-4098-89dd-53dcbfb9f00a
SD-94-FK87,9d3ac6d5-427c-42c9-8f1e-040aeb8d0722
TD-54-LX93,a40e46fb-ac53-4e96-836e-f77d42b66d95
EC-45-IN83,c0ede02c-279a-4783-9828-b400e477e0a8
SA-85-YY98,c0ede02c-279a-4783-9828-b400e477e0a8
NA-19-ZY08,106c80eb-37ce-49f4-9101-ee83543b71fa
BF-20-MK19,106c80eb-37ce-49f4-9101-ee83543b71fa
PA-73-IN47,c62b8876-3a27-4f9b-ac13-da321c29d3b7
EC-15-PX77,cfca40b1-b171-4a8d-8e29-e7d5415a06c2
IC-44-CZ74,cfca40b1-b171-4a8d-8e29-e7d5415a06c2
TA-26-GV43,7a159a36-fc9b-49f7-8082-ae3f0173825a
VA-69-LQ53,07cad2eb-b2cb-41fb-a5a2-2c7152b93a53
JC-29-FZ76,2f3d2059-f9b9-47a2-b932-00f1a4215029
GA-25-EG71,21e2cd9d-95f0-4052-9cf1-1c5cf22bcae5
KC-67-EK50,fa43493d-098d-4907-bbc3-85cb51d12076
NB-86-BW56,64897ce6-9bba-4687-94b1-159f61dc054c
VE-70-NU26,683c4c3a-d139-44b5-9610-fff87395931d
FA-06-GA39,ef58e52c-c30e-49bd-b0a1-6eb2910016a4
NE-70-RF46,09ccded7-1386-4434-a9cf-26191ccd4bbd
